"","tplace","year","mois","temperature"
"147","Antalya",1971,"t2",9.91
"148","Antalya",1972,"t2",9.93
"149","Antalya",1973,"t2",10.55
"150","Antalya",1974,"t2",9.88
"151","Antalya",1975,"t2",10.6
"152","Antalya",1976,"t2",9.54
"153","Antalya",1977,"t2",9.59
"154","Antalya",1978,"t2",9.51
"155","Antalya",1979,"t2",9.66
"156","Antalya",1980,"t2",10.08
"157","Antalya",1981,"t2",9.22
"158","Antalya",1982,"t2",9.18
"159","Antalya",1983,"t2",9.81
"160","Antalya",1984,"t2",10.73
"161","Antalya",1985,"t2",9.1
"162","Antalya",1986,"t2",9.78
"163","Antalya",1987,"t2",10.4
"164","Antalya",1988,"t2",10.04
"165","Antalya",1989,"t2",8.94
"166","Antalya",1990,"t2",9.48
"167","Antalya",1991,"t2",10.8
"168","Antalya",1992,"t2",10.55
"169","Antalya",1993,"t2",9.65
"170","Antalya",1994,"t2",10.75
"171","Antalya",1995,"t2",10.21
"172","Antalya",1996,"t2",10.71
"173","Antalya",1997,"t2",10.35
"174","Antalya",1998,"t2",10.81
"175","Antalya",1999,"t2",11.28
"176","Antalya",2000,"t2",11.3
"177","Antalya",2001,"t2",10.25
"178","Antalya",2002,"t2",9.69
"179","Antalya",2003,"t2",10.4
"180","Antalya",2004,"t2",10.1
"181","Antalya",2005,"t2",10.52
"182","Antalya",2006,"t2",11.34
"183","Antalya",2007,"t2",11.08
"184","Antalya",2008,"t2",9.66
"185","Antalya",2009,"t2",11.5
"186","Antalya",2010,"t2",11.13
"187","Antalya",2011,"t2",10.48
"188","Antalya",2012,"t2",10.22
"189","Antalya",2013,"t2",11.28
"190","Antalya",2014,"t2",10.5
"191","Antalya",2015,"t2",9.92
"192","Antalya",2016,"t2",10.65
"193","Antalya",2017,"t2",10.52
"194","Antalya",2018,"t2",11.07
"195","Antalya",2019,"t2",10.63
"196","Antalya",2020,"t2",10.24
"197","Antalya",2021,"t2",10.81
"198","Antalya",2022,"t2",10.63
"199","Antalya",2023,"t2",10.22
"200","Antalya",2024,"t2",10.5
"201","Antalya",2025,"t2",11.16
"202","Antalya",2026,"t2",11.29
"203","Antalya",2027,"t2",11.12
"204","Antalya",2028,"t2",11.11
"205","Antalya",2029,"t2",10.9
